# CMD_SET 0x02 (CAMERA) only; IDs below are not CmdIdCommon media commands.
0x01 uav_camera_take_photo_req                               uav_camera_take_photo_rsp
0x02 uav_camera_record_video_req                             uav_camera_record_video_rsp
0x09 uav_camera_set_liveview_source_camera_req               uav_camera_set_liveview_source_camera_rsp
0x0c uav_camera_switch_playbackmode_req                      uav_camera_switch_playbackmode_rsp
0x10 uav_camera_set_camera_working_mode_req                  uav_camera_set_camera_working_mode_rsp
0x12 uav_camera_set_camera_photo_size_req                    uav_camera_set_camera_photo_size_rsp
0x14 uav_camera_set_camera_photo_quality_req                 uav_camera_set_camera_photo_quality_rsp
0x16 uav_camera_set_camera_photo_storage_format_req          uav_camera_set_camera_photo_storage_format_rsp
0x18 uav_camera_set_video_format_req                         uav_camera_set_video_format_rsp
0x1a uav_camera_set_camera_video_quality_req                 uav_camera_set_camera_video_quality_rsp
0x1c uav_camera_set_camera_video_storage_format_req          uav_camera_set_camera_video_storage_format_rsp
0x1e uav_camera_set_camera_exposure_mode_req                 uav_camera_set_camera_exposure_mode_rsp
0x20 uav_camera_set_camera_scene_mode_req                    uav_camera_set_camera_scene_mode_rsp
0x21 uav_camera_get_camera_scene_mode_req                    uav_camera_get_camera_scene_mode_rsp
0x22 uav_camera_set_camera_metering_mode_req                 uav_camera_set_camera_metering_mode_rsp
0x24 uav_camera_set_camera_focus_mode_req                    uav_camera_set_camera_focus_mode_rsp
0x26 uav_camera_set_aperture_size_req                        uav_camera_set_aperture_size_rsp
0x28 uav_camera_set_camera_shutter_speed_req                 uav_camera_set_camera_shutter_speed_rsp
0x29 uav_camera_get_camera_shutter_speed_req                 uav_camera_get_camera_shutter_speed_rsp
0x2a uav_camera_set_camera_iso_para_req                      uav_camera_set_camera_iso_para_rsp
0x2b uav_camera_get_camera_iso_para_req                      uav_camera_get_camera_iso_para_rsp
0x2c uav_camera_set_camera_white_balance_req                 uav_camera_set_camera_white_balance_rsp
0x2e uav_camera_set_camera_exposure_compensation_req         uav_camera_set_camera_exposure_compensation_rsp
0x30 uav_camera_set_focus_area_req                           uav_camera_set_focus_area_rsp
0x32 uav_camera_set_spot_focus_area_req                      uav_camera_set_spot_focus_area_rsp
0x33 uav_camera_get_spot_focus_area_req                      uav_camera_get_spot_focus_area_rsp
0x34 uav_camera_set_focus_zoom_para_req                      uav_camera_set_focus_zoom_para_rsp
0x38 uav_camera_set_sharpness_para_req                       uav_camera_set_sharpness_para_rsp
0x3a uav_camera_set_contrast_para_req                        uav_camera_set_contrast_para_rsp
0x3c uav_camera_set_saturation_para_req                      uav_camera_set_saturation_para_rsp
0x3e uav_camera_set_colortone_para_req                       uav_camera_set_colortone_para_rsp
0x42 uav_camera_set_digital_filter_req                       uav_camera_set_digital_filter_rsp
0x44 uav_camera_set_digital_denoising_req                    uav_camera_set_digital_denoising_rsp
0x46 uav_camera_set_anti_filcker_req                         uav_camera_set_anti_filcker_rsp
0x48 uav_camera_set_continue_para_req                        uav_camera_set_continue_para_rsp
0x4a uav_camera_set_timelapse_para_req                       uav_camera_set_timelapse_para_rsp
0x4b uav_camera_get_timelapse_para_req                       uav_camera_get_timelapse_para_rsp
0x4c uav_camera_set_video_out_para_req                       uav_camera_set_video_out_para_rsp
0x4d uav_camera_get_video_out_para_req                       uav_camera_get_video_out_para_rsp
0x54 uav_camera_set_date_para_req                            uav_camera_set_date_para_rsp
0x56 uav_camera_set_language_para_req                        uav_camera_set_language_para_rsp
0x57 uav_camera_get_language_para_req                        uav_camera_get_language_para_rsp
