
===== CMD_SET 0x00 (0) [general] =====
  0x00/0x00 (  0)  req=uav_general_ping_req  rsp=uav_general_ping_rsp
  0x00/0x01 (  1)  req=uav_general_get_get_version_req  rsp=uav_general_get_get_version_rsp
  0x00/0x0B ( 11)  req=uav_general_set_reboot_device_req  rsp=uav_general_set_reboot_device_rsp
  0x00/0x0E ( 14)  req=uav_general_heartbeat_req  rsp=uav_general_heartbeat_rsp
  0x00/0x12 ( 18)  req=uav_general_find_uav_req  rsp=uav_general_find_uav_rsp
  0x00/0x1F ( 31)  req=uav_general_get_get_file_data_req  rsp=uav_general_get_get_file_data_rsp
  0x00/0x20 ( 32)  req=uav_general_get_get_file_list_req  rsp=uav_general_get_get_file_list_rsp
  0x00/0x26 ( 38)  req=uav_general_transfer_msg_req  rsp=uav_general_transfer_msg_rsp
  0x00/0x28 ( 40)  req=uav_general_delete_drive_file_req  rsp=uav_general_delete_file_rsp
  0x00/0x28 ( 40)  req=uav_general_delete_file_req  rsp=uav_general_delete_file_rsp
  0x00/0x2A ( 42)  req=uav_general_general_file_transfer_req  rsp=uav_general_general_file_transfer_rsp
  0x00/0x32 ( 50)  req=uav_general_activate_device_req  rsp=uav_general_activate_device_rsp
  0x00/0x34 ( 52)  req=uav_general_buried_messages_req  rsp=uav_general_buried_messages_rsp
  0x00/0x36 ( 54)  req=uav_general_deactivate_device_req  rsp=uav_general_deactivate_device_rsp
  0x00/0x44 ( 68)  req=uav_general_set_temperature_test_set_req  rsp=uav_general_set_temperature_test_set_rsp
  0x00/0x4A ( 74)  req=uav_general_set_device_date_req  rsp=uav_general_set_device_date_rsp
  0x00/0x4A ( 74)  req=uav_general_set_device_date_with_utc_req  rsp=uav_general_set_device_date_rsp
  0x00/0x4B ( 75)  req=uav_general_get_device_date_req  rsp=uav_general_get_device_date_rsp
  0x00/0x4F ( 79)  req=uav_general_get_get_version_config_req  rsp=uav_general_get_get_version_config_rsp
  0x00/0x51 ( 81)  req=uav_general_get_fetch_serial_number_req  rsp=uav_general_get_fetch_serial_number_rsp
